tag,model,task,subset,n,acc,mean_giou,parse_fail,acc_small,acc_medium,acc_large,blank_image,seconds
w8rtn_vqa5k,Qwen/Qwen3-VL-2B-Instruct,vqa,vqa,5000,0.8129,,,,,,False,224
gptqW4_pope,/scratch/7168371.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/gptqw4,pope,"adversarial:acc=0.869,f1=0.867 popular:acc=0.894,f1=0.890 random:acc=0.917,f1=0.911",9000,0.8936,,,,,,False,368
w8rtn_pope,Qwen/Qwen3-VL-2B-Instruct,pope,"adversarial:acc=0.877,f1=0.873 popular:acc=0.892,f1=0.887 random:acc=0.914,f1=0.908",9000,0.8942,,,,,,False,363
random1_b425_vqa5k,Qwen/Qwen3-VL-2B-Instruct,vqa,vqa,5000,0.7869,,,,,,False,228
gcq_b45_vqa5k,Qwen/Qwen3-VL-2B-Instruct,vqa,vqa,5000,0.7869,,,,,,False,232
random2_b425_vqa5k,Qwen/Qwen3-VL-2B-Instruct,vqa,vqa,5000,0.7795,,,,,,False,239
w4a8_pope,Qwen/Qwen3-VL-2B-Instruct,pope,"adversarial:acc=0.877,f1=0.867 popular:acc=0.887,f1=0.876 random:acc=0.896,f1=0.884",9000,0.8868,,,,,,False,427
random3_b425_vqa5k,Qwen/Qwen3-VL-2B-Instruct,vqa,vqa,5000,0.7805,,,,,,False,225
w4a8_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.6178 R=0.5335,1091,0.5726,,,,,,False,204
gptqW4_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.5900 R=0.4748,1091,0.5262,,,,,,False,169
gcqGPTQspec_vqa5k,/scratch/7168371.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/gcqgptqspec,vqa,vqa,5000,0.7817,,,,,,False,236
rtnW3_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.0000 R=0.0000,1091,0.0000,,,,,,False,200
gptqW3_pope,/scratch/7168371.1.iris-gpu-pub/claude-1064820/-usr4-spclpgm-eric1/28dca245-fe48-493e-8bfb-2ab74cc5ba7a/scratchpad/ckpts/gptqw3,pope,"adversarial:acc=0.588,f1=0.336 popular:acc=0.596,f1=0.341 random:acc=0.598,f1=0.344",9000,0.5943,,,,,,False,481
gptqW3_odinw500s,Qwen/Qwen3-VL-2B-Instruct,odinw,P=0.0000 R=0.0000,1091,0.0000,,,,,,False,200
